ts,direction,entry,stop,r,size,eff_r
2021-06-24 10:15:00+00:00,long,1940.86,1871.029299288644,-0.7644710343185592,1.0,-0.7644710343185592
2021-07-21 18:45:00+00:00,long,1956.28,1837.1936550564635,0.538673817140122,0.5,0.269336908570061
2021-07-26 02:00:00+00:00,long,2297.7,2159.1343028617243,-1.0298476468954123,1.0,-1.0298476468954123
2022-01-07 14:00:00+00:00,short,3199.81,3384.9143179009,-0.0438653084491913,0.5,-0.02193265422459565
2022-01-07 20:45:00+00:00,short,3214.54,3363.6216363430294,1.192459597042196,0.5,0.596229798521098
2022-01-25 06:15:00+00:00,long,2371.32,2276.761548609047,0.9260052667103812,1.0,0.9260052667103812
2022-02-26 21:30:00+00:00,long,2830.01,2745.6148543456725,-1.0603591351197408,1.0,-1.0603591351197408
2022-06-11 10:00:00+00:00,short,1598.36,1681.8999466219568,1.6131558308247695,0.5,0.8065779154123848
2022-06-25 04:15:00+00:00,long,1214.77,1169.6651720650932,0.3736498900809916,1.0,0.3736498900809916
2022-07-17 13:30:00+00:00,long,1351.44,1284.824160015189,1.8849482049409003,1.0,1.8849482049409003
2022-07-18 13:30:00+00:00,long,1479.44,1400.7128884774118,0.9451255934704412,1.0,0.9451255934704412
2022-07-19 22:15:00+00:00,long,1561.98,1483.3162282671697,-1.0357415356277226,1.0,-1.0357415356277226
2022-07-28 23:00:00+00:00,long,1735.57,1652.5456769360378,0.303717911443538,0.5,0.151858955721769
2022-07-29 05:00:00+00:00,long,1724.09,1658.6521649942915,-1.0474245824258903,1.0,-1.0474245824258903
2022-09-08 06:15:00+00:00,long,1629.5,1588.7121420939964,1.8769531897562903,0.5,0.9384765948781452
2022-09-08 12:15:00+00:00,long,1627.13,1576.5581912509524,1.5287403775419734,1.0,1.5287403775419734
2022-09-09 15:45:00+00:00,long,1718.22,1661.443535742998,-0.1199933121788191,1.0,-0.1199933121788191
2022-10-24 05:30:00+00:00,long,1340.84,1315.5134416298797,0.1601673603147678,0.5,0.0800836801573839
2022-10-26 23:15:00+00:00,long,1574.83,1514.321787220628,-1.046848086727267,1.0,-1.046848086727267
2023-01-07 05:00:00+00:00,long,1263.81,1255.3530498612529,-0.4782880274376413,0.5,-0.23914401371882066
2023-01-12 02:45:00+00:00,long,1399.59,1356.6113334659149,0.1561411402719521,0.5,0.07807057013597606
2023-01-13 05:00:00+00:00,long,1410.82,1388.354963209939,5.886958742879799,1.0,5.886958742879799
2023-01-13 11:15:00+00:00,long,1411.49,1389.425995026094,5.884849463957029,1.0,5.884849463957029
2023-01-13 17:30:00+00:00,long,1415.63,1383.6951203124363,5.920208435887978,1.0,5.920208435887978
2023-06-06 10:15:00+00:00,short,1818.05,1832.44920350552,-1.227268820719516,1.0,-1.227268820719516
2023-06-15 04:30:00+00:00,short,1649.89,1675.3374149588776,-1.116703484609303,0.5,-0.5583517423046515
2023-08-16 11:45:00+00:00,short,1824.59,1833.295638490132,3.9004305127634353,0.5,1.9502152563817177
2023-08-17 18:00:00+00:00,short,1739.76,1780.4244843950712,5.922990096970722,1.0,5.922990096970722
2023-08-18 15:00:00+00:00,short,1671.54,1714.410161252628,0.0436487278173035,1.0,0.0436487278173035
2023-09-22 09:30:00+00:00,short,1594.37,1610.614172745227,0.033250939181163,1.0,0.033250939181163
2023-10-06 07:00:00+00:00,short,1623.05,1635.3758800017067,-1.2370208049725928,1.0,-1.2370208049725928
2023-10-09 19:15:00+00:00,short,1580.56,1618.5993275513106,0.4278464696319036,0.5,0.2139232348159518
2023-10-13 05:00:00+00:00,short,1542.75,1555.7724186932169,-1.2132437963652962,1.0,-1.2132437963652962
2023-10-13 11:00:00+00:00,short,1546.43,1560.031426047899,-1.2046530996233276,0.5,-0.6023265498116638
2024-01-22 10:45:00+00:00,short,2381.87,2440.3595529219706,2.645816667575684,0.5,1.322908333787842
2024-01-22 17:30:00+00:00,short,2379.21,2447.445773085378,2.242480960954929,1.0,2.242480960954929
2024-04-02 17:00:00+00:00,short,3262.54,3392.429219236447,-0.6982301728591185,1.0,-0.6982301728591185
2024-04-13 03:30:00+00:00,short,3222.35,3329.709463743673,2.376313751055179,0.5,1.1881568755275895
2024-05-02 05:45:00+00:00,short,2914.98,2984.8580300411995,-1.0750874630682403,1.0,-1.0750874630682403
2024-06-24 23:30:00+00:00,short,3354.8,3449.3163763599755,-0.4376875372627826,0.5,-0.2188437686313913
2024-08-03 05:45:00+00:00,short,2974.28,3043.8553277230294,0.7929002680319386,0.5,0.3964501340159693
2025-01-14 09:00:00+00:00,short,3197.28,3263.468495704956,-0.6320600514398362,1.0,-0.6320600514398362
2025-02-25 15:30:00+00:00,short,2397.76,2534.0855388750774,-0.299767514856094,0.5,-0.149883757428047
2025-02-25 21:45:00+00:00,short,2512.92,2622.36275813512,1.5188464438622242,0.5,0.7594232219311121
2025-04-23 05:15:00+00:00,long,1798.82,1719.7710188734602,-0.4310982319360807,1.0,-0.4310982319360807
2025-04-23 17:30:00+00:00,long,1794.23,1723.8961509899286,-1.0459183457958834,0.5,-0.5229591728979417
2025-05-11 14:45:00+00:00,long,2484.77,2397.9286230547614,0.1806444641002437,0.5,0.09032223205012185
2025-05-28 06:00:00+00:00,long,2623.4,2570.047535565774,1.7745736959671392,1.0,1.7745736959671392
2025-05-29 15:30:00+00:00,long,2648.86,2560.6751021503164,-1.054067625140616,1.0,-1.054067625140616
2025-06-10 12:15:00+00:00,long,2754.12,2660.6813577847984,0.1427951400371429,0.5,0.07139757001857144
2025-07-10 09:30:00+00:00,long,2776.99,2723.193821032913,4.486590360770203,1.0,4.486590360770203
2025-07-10 15:30:00+00:00,long,2764.23,2700.7074659709333,3.39020458317135,1.0,3.39020458317135
2025-08-13 05:00:00+00:00,long,4662.99,4538.793818864223,0.5356575169350044,1.0,0.5356575169350044
2025-08-13 11:15:00+00:00,long,4676.81,4563.877178692747,0.2009313301246851,1.0,0.2009313301246851
2025-08-13 17:30:00+00:00,long,4711.02,4546.528646278151,-1.051551864630764,1.0,-1.051551864630764
2025-08-13 23:30:00+00:00,long,4765.99,4604.153637059975,-1.0530089891057368,0.5,-0.5265044945528684
2025-08-14 07:00:00+00:00,long,4734.11,4607.977945553245,-1.0675593372150902,0.5,-0.5337796686075451
2025-09-13 04:00:00+00:00,long,4736.88,4639.954105888423,-1.0879680716711717,0.5,-0.5439840358355859
2026-01-14 08:30:00+00:00,long,3326.68,3274.3037790730714,-0.1215823495338441,0.5,-0.06079117476692205
2026-01-14 15:30:00+00:00,long,3334.32,3254.3411772526388,-0.190822713760234,0.5,-0.095411356880117
2026-03-17 15:15:00+00:00,long,2322.29,2249.3454005267777,-1.0573054349490894,0.5,-0.5286527174745447
2026-05-16 18:45:00+00:00,short,2180.59,2204.186109247912,-0.4630026876556777,0.5,-0.23150134382783885
2026-05-23 23:30:00+00:00,short,2118.35,2168.923975249013,0.1846200531800626,0.5,0.0923100265900313
2026-06-03 14:45:00+00:00,short,1857.96,1903.307169392871,1.7850214927136236,1.0,1.7850214927136236
