ts,direction,entry,stop,r,size,eff_r
2021-07-26 02:00:00+00:00,long,2297.7,2159.1343028617243,-1.0298476468954123,1.0,-1.0298476468954123
2022-01-25 06:15:00+00:00,long,2371.32,2276.761548609047,0.9260052667103812,1.0,0.9260052667103812
2022-03-05 03:15:00+00:00,short,2621.54,2694.044837106081,-0.5353956170290356,1.0,-0.5353956170290356
2022-06-11 10:00:00+00:00,short,1598.36,1681.8999466219568,1.6131558308247695,1.0,1.6131558308247695
2022-06-25 04:15:00+00:00,long,1214.77,1169.6651720650932,0.3736498900809916,1.0,0.3736498900809916
2022-07-17 13:30:00+00:00,long,1351.44,1284.824160015189,1.8849482049409003,1.0,1.8849482049409003
2022-07-18 13:30:00+00:00,long,1479.44,1400.7128884774118,0.9451255934704412,1.0,0.9451255934704412
2022-07-28 23:00:00+00:00,long,1735.57,1652.5456769360378,0.303717911443538,1.0,0.303717911443538
2022-07-29 05:00:00+00:00,long,1724.09,1658.6521649942915,-1.0474245824258903,1.0,-1.0474245824258903
2022-09-16 14:00:00+00:00,short,1451.62,1512.8233584449852,0.3595731436826574,1.0,0.3595731436826574
2022-09-16 20:45:00+00:00,short,1437.21,1492.8724591229768,-0.4812395719136078,1.0,-0.4812395719136078
2022-09-19 09:45:00+00:00,short,1296.39,1342.9196716292313,-1.0501508374826805,1.0,-1.0501508374826805
2022-10-24 05:30:00+00:00,long,1340.84,1315.5134416298797,0.1601673603147678,1.0,0.1601673603147678
2022-10-26 23:15:00+00:00,long,1574.83,1514.321787220628,-1.046848086727267,1.0,-1.046848086727267
2023-01-05 13:15:00+00:00,long,1251.36,1240.688734166234,-1.2110759899610746,1.0,-1.2110759899610746
2023-01-07 05:00:00+00:00,long,1263.81,1255.3530498612529,-0.4782880274376413,1.0,-0.4782880274376413
2023-01-12 02:45:00+00:00,long,1399.59,1356.6113334659149,0.1561411402719521,1.0,0.1561411402719521
2023-05-29 07:00:00+00:00,long,1901.62,1877.4640124478265,-1.141700520113579,1.0,-1.141700520113579
2023-05-29 19:45:00+00:00,long,1890.56,1863.3020723647037,0.4507676505857875,1.0,0.4507676505857875
2023-06-06 10:15:00+00:00,short,1818.05,1832.44920350552,-1.227268820719516,1.0,-1.227268820719516
2023-06-15 04:30:00+00:00,short,1649.89,1675.3374149588776,-1.116703484609303,1.0,-1.116703484609303
2023-08-16 11:45:00+00:00,short,1824.59,1833.295638490132,3.9004305127634353,1.0,3.9004305127634353
2023-08-17 18:00:00+00:00,short,1739.76,1780.4244843950712,5.922990096970722,1.0,5.922990096970722
2023-09-22 09:30:00+00:00,short,1594.37,1610.614172745227,0.033250939181163,1.0,0.033250939181163
2023-09-30 06:45:00+00:00,long,1671.5,1661.5414908022913,0.3415471063462628,1.0,0.3415471063462628
2023-10-06 07:00:00+00:00,short,1623.05,1635.3758800017067,-1.2370208049725928,1.0,-1.2370208049725928
2023-10-13 05:00:00+00:00,short,1542.75,1555.7724186932169,-1.2132437963652962,1.0,-1.2132437963652962
2023-10-13 11:00:00+00:00,short,1546.43,1560.031426047899,-1.2046530996233276,1.0,-1.2046530996233276
2023-12-03 17:00:00+00:00,long,2154.93,2125.2003788921256,2.146718445163659,1.0,2.146718445163659
2024-04-09 04:45:00+00:00,long,3698.82,3616.1921020580216,-1.080576611118381,1.0,-1.080576611118381
2024-04-13 03:30:00+00:00,short,3222.35,3329.709463743673,2.376313751055179,1.0,2.376313751055179
2024-06-24 23:30:00+00:00,short,3354.8,3449.3163763599755,-0.4376875372627826,1.0,-0.4376875372627826
2024-07-12 00:45:00+00:00,long,3092.19,3021.952864770401,0.4818541913670957,1.0,0.4818541913670957
2024-08-03 05:45:00+00:00,short,2974.28,3043.8553277230294,0.7929002680319386,1.0,0.7929002680319386
2024-10-24 11:15:00+00:00,short,2528.21,2572.369137060156,-0.4046903809659056,1.0,-0.4046903809659056
2025-01-14 09:00:00+00:00,short,3197.28,3263.468495704956,-0.6320600514398362,1.0,-0.6320600514398362
2025-03-20 05:15:00+00:00,long,2012.01,1970.8679637854373,-1.0880271939170143,1.0,-1.0880271939170143
2025-04-23 05:15:00+00:00,long,1798.82,1719.7710188734602,-0.4310982319360807,1.0,-0.4310982319360807
2025-04-23 17:30:00+00:00,long,1794.23,1723.8961509899286,-1.0459183457958834,1.0,-1.0459183457958834
2025-05-28 06:00:00+00:00,long,2623.4,2570.047535565774,1.7745736959671392,1.0,1.7745736959671392
2025-06-10 12:15:00+00:00,long,2754.12,2660.6813577847984,0.1427951400371429,1.0,0.1427951400371429
2025-06-21 23:45:00+00:00,short,2294.63,2443.047085450083,0.4323603701379937,1.0,0.4323603701379937
2025-07-10 09:30:00+00:00,long,2776.99,2723.193821032913,4.486590360770203,1.0,4.486590360770203
2025-07-10 15:30:00+00:00,long,2764.23,2700.7074659709333,3.39020458317135,1.0,3.39020458317135
2025-08-13 05:00:00+00:00,long,4662.99,4538.793818864223,0.5356575169350044,1.0,0.5356575169350044
2025-08-13 11:15:00+00:00,long,4676.81,4563.877178692747,0.2009313301246851,1.0,0.2009313301246851
2025-08-13 17:30:00+00:00,long,4711.02,4546.528646278151,-1.051551864630764,1.0,-1.051551864630764
2025-08-13 23:30:00+00:00,long,4765.99,4604.153637059975,-1.0530089891057368,1.0,-1.0530089891057368
2025-11-04 03:00:00+00:00,short,3645.29,3761.552906808478,2.779033200436371,1.0,2.779033200436371
2025-11-04 11:00:00+00:00,short,3510.54,3633.6890211080263,1.716708960394816,1.0,1.716708960394816
2025-11-04 21:45:00+00:00,short,3213.77,3476.486516737091,-1.022019118066295,1.0,-1.022019118066295
2025-11-15 00:00:00+00:00,short,3142.18,3306.798316006293,-0.1355008637018698,1.0,-0.1355008637018698
2025-11-21 00:30:00+00:00,short,2860.24,2987.3173967997936,0.678103031460111,1.0,0.678103031460111
2025-12-04 11:30:00+00:00,long,3180.72,3117.735963387372,-1.0909007473625767,1.0,-1.0909007473625767
2026-01-14 08:30:00+00:00,long,3326.68,3274.3037790730714,-0.1215823495338441,1.0,-0.1215823495338441
2026-01-14 15:30:00+00:00,long,3334.32,3254.3411772526388,-0.190822713760234,1.0,-0.190822713760234
2026-01-31 19:00:00+00:00,short,2413.75,2648.947257727874,0.2966669368259845,1.0,0.2966669368259845
2026-03-17 15:15:00+00:00,long,2322.29,2249.3454005267777,-1.0573054349490894,1.0,-1.0573054349490894
2026-05-16 18:45:00+00:00,short,2180.59,2204.186109247912,-0.4630026876556777,1.0,-0.4630026876556777
2026-05-23 23:30:00+00:00,short,2118.35,2168.923975249013,0.1846200531800626,1.0,0.1846200531800626
2026-06-03 14:45:00+00:00,short,1857.96,1903.307169392871,1.7850214927136236,1.0,1.7850214927136236
2026-06-15 17:00:00+00:00,long,1831.41,1779.6331481451346,-1.0636681814730753,1.0,-1.0636681814730753
2026-07-15 05:00:00+00:00,long,1871.69,1842.7924296356737,1.576982335381968,1.0,1.576982335381968
2026-08-02 00:00:00+00:00,short,1846.82,1866.9421069376392,-1.1652051651600095,1.0,-1.1652051651600095
