time,side,gross_r,net_r,exit,risk_pct,hold_bars
2020-01-02 20:00:00+00:00,-1,-1.0,-1.0720915456120124,stop,2.4968253693538145,35
2020-01-03 04:45:00+00:00,1,1.6083531644756461,1.5353770964985345,timeout,2.466562052321806,289
2020-01-07 22:15:00+00:00,1,0.0034353702504910165,-0.035360228413922064,timeout,4.639701569165696,289
2020-01-08 22:30:00+00:00,1,0.19251322256884273,0.1622663859060054,timeout,5.951035541549911,289
2020-01-09 01:00:00+00:00,-1,-0.1873015285942355,-0.21810505544864392,timeout,5.8434867166595055,289
2020-01-10 16:45:00+00:00,1,0.2584196038496072,0.21535147560017426,timeout,4.179424723487255,289
2020-01-12 00:30:00+00:00,1,2.279704575162853,2.2366755109471415,timeout,4.183219023719192,289
2020-01-17 06:45:00+00:00,-1,0.8689602484278698,0.8142082826782426,timeout,3.2875531962288616,289
2020-01-27 19:45:00+00:00,-1,-1.0,-1.0667757014752088,stop,2.6955913007791787,23
2020-01-28 05:45:00+00:00,1,0.9796866254487993,0.9248885643858987,timeout,3.2847877554168416,289
2020-02-09 03:45:00+00:00,1,-1.0,-1.0782241265371222,stop,2.301080343985417,105
2020-02-11 15:45:00+00:00,1,0.40251821056985176,0.32782908242679065,timeout,2.40998930467128,289
2020-02-16 03:00:00+00:00,1,-1.0,-1.0594282671087203,stop,3.02886166394018,55
2020-02-18 19:30:00+00:00,1,-1.0,-1.0509130033740957,stop,3.535442579912365,106
2020-02-26 14:15:00+00:00,1,-1.0,-1.0378249756805489,stop,4.758760495186858,11
2020-03-09 06:30:00+00:00,-1,0.8286311696575506,0.800633066447064,timeout,6.4290069454626995,289
2020-03-10 20:15:00+00:00,-1,4.492145658109352,4.458717771707576,wick,5.384725729785849,172
2020-03-12 20:30:00+00:00,-1,0.7430960673960897,0.7333292020049276,wick,18.429659137401384,12
2020-03-16 07:30:00+00:00,-1,-0.676398497397664,-0.6889330101365875,timeout,14.360350796967584,289
2020-03-21 09:45:00+00:00,-1,-1.0,-1.0140416758045148,stop,12.818982755756657,283
2020-03-22 19:00:00+00:00,-1,-1.0,-1.0185068769611991,stop,9.726114264301994,73
2020-03-30 03:00:00+00:00,-1,-1.0,-1.0358480467740554,stop,5.02119407326463,17
2020-04-03 12:30:00+00:00,-1,-0.3667230160353428,-0.39570575265551683,timeout,6.210593649555757,289
2020-04-06 06:15:00+00:00,-1,-1.0,-1.0456921668546928,stop,3.939406081843835,52
2020-04-10 05:30:00+00:00,-1,0.9763324497780045,0.927509898761328,timeout,3.6868208696943543,289
2020-04-12 16:15:00+00:00,1,-1.0,-1.062991577486406,stop,2.8575248816215963,32
2020-04-16 12:45:00+00:00,1,0.3699253588400999,0.33901858069122287,timeout,5.823965187602062,289
2020-04-17 15:15:00+00:00,1,0.106368739107752,0.06279877009358571,timeout,4.131285930946496,289
2020-04-20 13:00:00+00:00,1,-1.0,-1.0572204505585752,stop,3.1457284632133176,26
2020-05-03 00:45:00+00:00,1,-1.0,-1.0531968178755142,stop,3.383661038169942,48
2020-05-05 08:45:00+00:00,1,2.4390640875273832,2.397755290182942,wick,4.357425332408585,253
2020-05-11 12:30:00+00:00,1,-1.0,-1.0244188223874544,stop,7.371362842316167,17
2020-05-13 12:30:00+00:00,1,1.1541860688071683,1.1129807570806611,timeout,4.368368845131353,289
2020-05-21 19:45:00+00:00,1,-0.15890734126836836,-0.19267014043586625,timeout,5.331311515583073,289
2020-05-24 20:00:00+00:00,1,-1.0,-1.051132157445485,stop,3.520289559303428,15
2020-06-15 06:45:00+00:00,-1,-1.0,-1.0522742070790996,stop,3.4433807810347097,35
2020-06-27 23:00:00+00:00,-1,-0.5970266269336657,-0.6494755395698003,timeout,3.431910995920044,289
2020-07-05 21:30:00+00:00,-1,-1.0,-1.132375614910994,stop,1.3597670546877338,6
